Gene,log2FoldChange,pvalue,padj
Speer9-ps1,NA,NA,NA
AU018091,NA,NA,NA
Mir290a,NA,NA,NA
Mir290b,NA,NA,NA
Nlrp12,0.468168736,0.25134607,NA
D7Ertd143e,NA,NA,NA
Mir291a,NA,NA,NA
Mir292,NA,NA,NA
Mir292b,NA,NA,NA
Mir291b,NA,NA,NA
Mir293,NA,NA,NA
Mir294,NA,NA,NA
Mir295,NA,NA,NA
Gm23450,NA,NA,NA
Cacng6,-0.006990353,0.982302867,NA
Gm45920,-0.074302853,0.798075179,NA
Mir3572,NA,NA,NA
Gm10693,NA,NA,NA
1700095K22Rik,NA,NA,NA
Gm23741,NA,NA,NA
Lilra5,-0.415126925,0.275650954,NA
Ncr1,NA,NA,NA
Gp6,0.062606314,0.829326413,NA
Ptprh,NA,NA,NA
Gm24537,-0.074302853,0.798075179,NA
Fam71e2,0.062606314,0.829326413,NA
Gm36127,0.062606314,0.829326413,NA
LOC118567470,-0.266971864,0.534037905,NA
Gm51297,-0.341101148,0.33605035,NA
LOC118567471,0.11738125,0.794248615,NA
Rfpl4,0.140838661,0.638968636,NA
Vmn1r55,NA,NA,NA
Vmn1r56,NA,NA,NA
Vmn1r57,NA,NA,NA
Gm23942,NA,NA,NA
Nlrp2,NA,NA,NA
Gm5065,NA,NA,NA
Vmn1r58,NA,NA,NA
Vmn1r59,NA,NA,NA
Vmn2r28,NA,NA,NA
Vmn1r60,NA,NA,NA
Vmn1r61,NA,NA,NA
Vmn1r62,NA,NA,NA
Vmn1r63,NA,NA,NA
Vmn1r64,NA,NA,NA
Vmn1r65,NA,NA,NA
4933402C05Rik,NA,NA,NA
Galp,NA,NA,NA
Zscan5b,NA,NA,NA
Epp13,NA,NA,NA
Olfr1344,NA,NA,NA
Olfr1336,NA,NA,NA
Olfr1346,NA,NA,NA
Olfr5,NA,NA,NA
Olfr1347,NA,NA,NA
Olfr1348,NA,NA,NA
Olfr1349,NA,NA,NA
Olfr1350,NA,NA,NA
Zim2,NA,NA,NA
Peg3os,NA,NA,NA
Mir3099,NA,NA,NA
LOC118567472,NA,NA,NA
Zim3,NA,NA,NA
Aurkc,NA,NA,NA
Mir5620,NA,NA,NA
Vmn2r30,NA,NA,NA
Vmn2r31,NA,NA,NA
Vmn2r32,NA,NA,NA
Vmn2r33,NA,NA,NA
Vmn2r34,NA,NA,NA
Vmn2r35,NA,NA,NA
Vmn2r36,NA,NA,NA
2810047C21Rik1,NA,NA,NA
Vmn2r41,NA,NA,NA
Vmn2r42,NA,NA,NA
Vmn2r43,NA,NA,NA
Gm3654,NA,NA,NA
Gm7696,NA,NA,NA
Vmn2r44,NA,NA,NA
Vmn2r45,NA,NA,NA
Gm20482,NA,NA,NA
Vmn2r40,NA,NA,NA
Vmn2r39,NA,NA,NA
Zfp419,NA,NA,NA
Vmn2r38,NA,NA,NA
Vmn2r37,NA,NA,NA
Vmn2r46,NA,NA,NA
Gm30482,-0.300194648,0.380613146,NA
Vmn2r47,NA,NA,NA
Gm45351,-0.245088011,0.449952402,NA
Vmn2r48,NA,NA,NA
Vmn2r49,0.062606314,0.829326413,NA
Vmn2r50,NA,NA,NA
Vmn2r51,NA,NA,NA
Vmn2r52,NA,NA,NA
Vmn1r66,NA,NA,NA
Vmn1r67,NA,NA,NA
Gm30645,-0.074302853,0.798075179,NA
Vmn1r68,NA,NA,NA
Vmn1r69,NA,NA,NA
Vmn1r70,NA,NA,NA
Nlrp4b,NA,NA,NA
Vmn1r71,NA,NA,NA
Zscan4a,NA,NA,NA
Zscan4b,NA,NA,NA
Mir297-1,NA,NA,NA
Gm7789,NA,NA,NA
Zscan4c,-0.074302853,0.798075179,NA
Zscan4d,NA,NA,NA
Gm6909,NA,NA,NA
Zscan4f,NA,NA,NA
Vmn1r72,NA,NA,NA
Vmn1r73,NA,NA,NA
Vmn1r74,NA,NA,NA
Vmn1r75,NA,NA,NA
Vmn1r76,NA,NA,NA
Gm24414,NA,NA,NA
Vmn1r77,NA,NA,NA
Vmn1r78,NA,NA,NA
Vmn1r79,NA,NA,NA
Vmn1r80,NA,NA,NA
Gm4224,NA,NA,NA
Vmn1r81,NA,NA,NA
Vmn1r82,NA,NA,NA
Vmn1r83,NA,NA,NA
Vmn1r84,NA,NA,NA
2900092C05Rik,-0.221630841,0.583095855,NA
Vmn2r53,0.062606314,0.829326413,NA
Vmn2r54,NA,NA,NA
Vmn2r55,NA,NA,NA
Vmn2r56,0.062606314,0.829326413,NA
LOC115486563,NA,NA,NA
